"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Updating card","tests","Tue May 12 09:44:48 UTC 2026","broken","Tue May 12 09:44:48 UTC 2026","","test_boards","",""
"","0","Creating new list","tests","Tue May 12 09:44:46 UTC 2026","broken","Tue May 12 09:44:46 UTC 2026","","test_boards","",""
"","143","Creating board with invalid token","tests","Tue May 12 09:44:48 UTC 2026","passed","Tue May 12 09:44:49 UTC 2026","","test_negative","",""
"","178","Creating colored boards","tests","Tue May 12 09:44:47 UTC 2026","failed","Tue May 12 09:44:48 UTC 2026","","test_boards","",""
"","0","Creating checklist and item","tests","Tue May 12 09:44:48 UTC 2026","broken","Tue May 12 09:44:48 UTC 2026","","test_boards","",""
"","187","Creating colored boards","tests","Tue May 12 09:44:47 UTC 2026","failed","Tue May 12 09:44:47 UTC 2026","","test_boards","",""
"","0","Deleting new board","tests","Tue May 12 09:44:46 UTC 2026","broken","Tue May 12 09:44:46 UTC 2026","","test_boards","",""
"","186","Creating card in fake list","tests","Tue May 12 09:44:49 UTC 2026","passed","Tue May 12 09:44:49 UTC 2026","","test_negative","",""
"","39","Creating board with giant name","tests","Tue May 12 09:44:49 UTC 2026","passed","Tue May 12 09:44:49 UTC 2026","","test_negative","",""
"","203","Creating new board","tests","Tue May 12 09:44:46 UTC 2026","failed","Tue May 12 09:44:46 UTC 2026","","test_boards","",""
"","0","E2E test","tests","Tue May 12 09:44:47 UTC 2026","broken","Tue May 12 09:44:47 UTC 2026","","test_boards","",""
"","193","Creating board with pydantic validation","tests","Tue May 12 09:44:48 UTC 2026","failed","Tue May 12 09:44:48 UTC 2026","","test_boards","",""
"","0","Creating new card","tests","Tue May 12 09:44:46 UTC 2026","broken","Tue May 12 09:44:46 UTC 2026","","test_boards","",""
"","190","Creating colored boards","tests","Tue May 12 09:44:47 UTC 2026","failed","Tue May 12 09:44:47 UTC 2026","","test_boards","",""
"","0","Archiving cards","tests","Tue May 12 09:44:48 UTC 2026","broken","Tue May 12 09:44:48 UTC 2026","","test_boards","",""
