"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","136","Creating colored boards","tests","Tue Apr 14 08:47:18 UTC 2026","failed","Tue Apr 14 08:47:18 UTC 2026","","test_boards","",""
"","0","Creating checklist and item","tests","Tue Apr 14 08:47:19 UTC 2026","broken","Tue Apr 14 08:47:19 UTC 2026","","test_boards","",""
"","0","Creating new card","tests","Tue Apr 14 08:47:17 UTC 2026","broken","Tue Apr 14 08:47:17 UTC 2026","","test_boards","",""
"","0","Deleting new board","tests","Tue Apr 14 08:47:17 UTC 2026","broken","Tue Apr 14 08:47:17 UTC 2026","","test_boards","",""
"","0","Creating new list","tests","Tue Apr 14 08:47:17 UTC 2026","broken","Tue Apr 14 08:47:17 UTC 2026","","test_boards","",""
"","158","Creating card in fake list","tests","Tue Apr 14 08:47:19 UTC 2026","passed","Tue Apr 14 08:47:19 UTC 2026","","test_negative","",""
"","141","Creating board with pydantic validation","tests","Tue Apr 14 08:47:18 UTC 2026","failed","Tue Apr 14 08:47:19 UTC 2026","","test_boards","",""
"","0","E2E test","tests","Tue Apr 14 08:47:18 UTC 2026","broken","Tue Apr 14 08:47:18 UTC 2026","","test_boards","",""
"","229","Creating colored boards","tests","Tue Apr 14 08:47:18 UTC 2026","failed","Tue Apr 14 08:47:18 UTC 2026","","test_boards","",""
"","311","Creating new board","tests","Tue Apr 14 08:47:17 UTC 2026","failed","Tue Apr 14 08:47:17 UTC 2026","","test_boards","",""
"","139","Creating board with invalid token","tests","Tue Apr 14 08:47:19 UTC 2026","passed","Tue Apr 14 08:47:19 UTC 2026","","test_negative","",""
"","150","Creating colored boards","tests","Tue Apr 14 08:47:18 UTC 2026","failed","Tue Apr 14 08:47:18 UTC 2026","","test_boards","",""
"","0","Archiving cards","tests","Tue Apr 14 08:47:18 UTC 2026","broken","Tue Apr 14 08:47:18 UTC 2026","","test_boards","",""
"","65","Creating board with giant name","tests","Tue Apr 14 08:47:19 UTC 2026","passed","Tue Apr 14 08:47:19 UTC 2026","","test_negative","",""
"","0","Updating card","tests","Tue Apr 14 08:47:19 UTC 2026","broken","Tue Apr 14 08:47:19 UTC 2026","","test_boards","",""
