"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","201","Creating colored boards","tests","Fri Apr 17 08:48:28 UTC 2026","failed","Fri Apr 17 08:48:28 UTC 2026","","test_boards","",""
"","253","Creating new board","tests","Fri Apr 17 08:48:27 UTC 2026","failed","Fri Apr 17 08:48:27 UTC 2026","","test_boards","",""
"","137","Creating board with invalid token","tests","Fri Apr 17 08:48:30 UTC 2026","passed","Fri Apr 17 08:48:30 UTC 2026","","test_negative","",""
"","0","Deleting new board","tests","Fri Apr 17 08:48:28 UTC 2026","broken","Fri Apr 17 08:48:28 UTC 2026","","test_boards","",""
"","153","Creating card in fake list","tests","Fri Apr 17 08:48:30 UTC 2026","passed","Fri Apr 17 08:48:30 UTC 2026","","test_negative","",""
"","174","Creating colored boards","tests","Fri Apr 17 08:48:29 UTC 2026","failed","Fri Apr 17 08:48:29 UTC 2026","","test_boards","",""
"","0","Creating checklist and item","tests","Fri Apr 17 08:48:29 UTC 2026","broken","Fri Apr 17 08:48:29 UTC 2026","","test_boards","",""
"","0","Creating new card","tests","Fri Apr 17 08:48:27 UTC 2026","broken","Fri Apr 17 08:48:27 UTC 2026","","test_boards","",""
"","0","Updating card","tests","Fri Apr 17 08:48:29 UTC 2026","broken","Fri Apr 17 08:48:29 UTC 2026","","test_boards","",""
"","36","Creating board with giant name","tests","Fri Apr 17 08:48:30 UTC 2026","passed","Fri Apr 17 08:48:30 UTC 2026","","test_negative","",""
"","0","Archiving cards","tests","Fri Apr 17 08:48:29 UTC 2026","broken","Fri Apr 17 08:48:29 UTC 2026","","test_boards","",""
"","270","Creating colored boards","tests","Fri Apr 17 08:48:28 UTC 2026","failed","Fri Apr 17 08:48:29 UTC 2026","","test_boards","",""
"","171","Creating board with pydantic validation","tests","Fri Apr 17 08:48:29 UTC 2026","failed","Fri Apr 17 08:48:29 UTC 2026","","test_boards","",""
"","0","E2E test","tests","Fri Apr 17 08:48:28 UTC 2026","broken","Fri Apr 17 08:48:28 UTC 2026","","test_boards","",""
"","0","Creating new list","tests","Fri Apr 17 08:48:28 UTC 2026","broken","Fri Apr 17 08:48:28 UTC 2026","","test_boards","",""
